Registro,Prediccion
353,-0.18026713
354,-0.23281623
355,-0.20938565
356,-0.1449687
357,-0.08834196
358,-0.01375532
359,0.01601213
360,0.13243069
361,0.027743356
362,0.11071433
363,0.09328576
364,0.028627897
365,0.018182086
366,0.020910934
367,0.080076866
368,0.18897556
369,0.34434074
370,0.4346023
371,0.5027931
372,0.5459041
373,0.5320007
374,0.4430383
375,0.32961795
376,0.2547144
377,0.15958665
378,0.06816131
379,-0.037901044
380,-0.04424231
381,-0.004529642
382,0.11236424
383,0.15927543
384,0.21590592
385,0.071410745
386,0.03266274
387,0.019753778
388,-0.04926756
389,-0.06026769
390,-0.077187635
391,-0.037716087
392,-0.023594478
393,0.042650152
394,0.08752184
395,0.15378334
396,0.18253997
397,0.025450958
398,-0.0046547335
399,-0.037214115
400,-0.04213412
401,0.020159652
402,0.12723325
403,0.24435447
404,0.31079724
405,0.46505627
406,0.49591348
407,0.47083148
408,0.547379
409,0.6289355
410,0.48199418
411,0.38853616
412,0.17813863
413,0.07304891
414,0.06515016
415,0.05378195
416,0.12479458
417,0.13436194
418,0.07323995
419,-0.040833354
420,-0.0040975716
421,-0.19387825
422,-0.13583738
423,-0.29396227
424,-0.21553189
425,-0.2141858
426,-0.18693544
427,-0.105915375
428,-0.046333
429,-0.0062446427
430,-0.029702133
431,-0.09920293
432,-0.039848693
433,-0.21443309
434,-0.26417792
435,-0.29352465
436,-0.40846065
437,-0.3713323
438,-0.25128525
439,-0.12210957
440,0.06693023
441,0.16887592
442,0.1869373
443,0.16330835
444,0.38441327
445,0.23327945
446,0.20716074
447,0.029946787
448,-0.074846625
449,-0.09824839
450,-0.023451861
451,0.07370394
452,0.1330585
453,0.18577825
454,0.20111445
455,0.17702208
456,0.24968836
457,0.22981985
458,0.24986832
459,0.15587488
460,0.07840056
461,0.032962307
462,0.03392043
463,0.05024457
464,0.04171054
465,0.07680567
466,0.09609669
467,-0.025683632
468,0.004139142
469,-0.114337996
470,-0.21740001
471,-0.3498534
472,-0.2964218
473,-0.22648321
474,-0.14680268
475,-0.003695583
476,0.06660424
477,0.15876845
478,0.13419206
479,0.15509386
480,0.15827008
481,-0.0056580063
482,-0.18621585
483,-0.26858398
484,-0.35549703
485,-0.3301654
486,-0.3151883
487,-0.21224397
488,-0.12541272
489,-0.07831576
490,-0.087348945
491,-0.15047048
492,-0.028786829
493,-0.23597974
494,-0.116320364
495,-0.25087932
496,-0.31129512
497,-0.18349952
498,0.012121843
499,0.17217451
500,0.32600006
501,0.4438896
502,0.4636609
503,0.5010284
504,0.51204306
505,0.5446977
506,0.41156688
507,0.30306798
508,0.22002007
509,0.12127366
510,0.094223976
511,0.13036121
512,0.2173594
513,0.26679274
514,0.31722283
515,0.15771455
516,0.15448795
517,0.067531355
518,-0.089543685
519,-0.18634994
520,-0.22825664
521,-0.1170733
522,-0.053522184
523,0.11167737
524,0.19552116
525,0.2942089
526,0.22626649
527,0.21628939
528,0.21100327
