,Precipitacion_mm,Temp_Max_C,Temp_Min_C,Temp_Media_C,Humedad_Relativa,Velocidad_Viento,Radiacion_Solar,Anio,Mes,ONI,VolumenUtilDiarioMasa,irca,POBLACION TOTAL,DENSIDAD POBLACIONAL,INDICE DE DESEMPENO INSTITUCIONAL,ACCESO A AGUA POTABLE ADECUADO,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ACUEDUCTO RURAL,COBERTURA DE ALCANTARILLADO URBANO,COBERTURA DE ALCANTARILLADO RURAL,CONTINUIDAD DE ACUEDUCTO URBANO,CALIDAD DEL AGUA,AGUAS RESIDUALES TRATADAS,Nivel_Minimo,CONDUCTIVIDAD ELECTRICA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),DEMANDA QUIMICA DE OXIGENO (DQO),FOSFORO TOTAL,NITROGENO TOTAL,OXIGENO DISUELTO (OD),SOLIDOS SUSPENDIDOS TOTALES,TEMPERATURA,TURBIDEZ,pH
COBERTURA DE ALCANTARILLADO RURAL,0.06527344244900998,-0.10994279429287605,-0.037117449937592376,-0.06649997879521374,0.1027990213387199,-0.034265120472465015,-0.053082683571661474,-0.5976143046672051,-1.5701251359257064e-17,0.1621212068381967,0.22792115291927584,0.2390457218668786,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3070864805356978,0.012417903475469307,-0.0671354092828894,-0.3333028854830344,0.2325600442419217,0.4406323819762324,-0.05523024194740583,-0.006797011851544715,-0.2635128105986094,0.25826663158179086
CONTINUIDAD DE ACUEDUCTO URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIDAD DEL AGUA,0.07240075620425043,0.009434772037401883,0.007097573680432634,0.004307538302359683,0.04102560935223377,0.4064636277784563,-0.22530700043504343,-0.043069359429804555,1.505527988220396e-16,0.011784887269480009,,,,,0.9120738620329274,,,,,,,,1.0,0.47384217262263967,,0.47189390908715084,-1.0,0.22205279313718043,0.47707399164470443,0.40129185320610816,-0.34766504255243985,0.15125859992725216,0.6858323737993114,0.3114666913639133,0.7345179688069101
AGUAS RESIDUALES TRATADAS,0.1953477853963362,0.4517014071659752,0.6579877652609201,0.5974798721911426,0.02461912726315194,0.08606843164547551,0.05661143453254646,4.134042402077412e-13,1.2240249515484984e-16,-1.975893491357484e-16,,,,,0.7290766549206337,,,,,,,,0.47384217262263967,1.0,,0.2934854366663909,-1.0,0.1460165044151489,0.28892468630002816,0.2084213568812839,-0.7797865091371275,-0.08690556751438384,0.6884220666332722,0.30062677874863347,-0.06849026520699615
Nivel_Minimo,-0.07992761053151042,0.26009675687083067,0.12328973861871034,0.221975535599313,-0.3504404032196338,0.22582883377389704,0.0912123194292248,0.1542058308876453,0.05494726666056572,-0.051612504527523854,,,,,,,,,,,,,,,1.0,-0.43706854019701075,-0.3886027017476321,-0.08620458651619557,0.13732562383426664,,-0.5117764343346932,0.6388357739108331,0.7131010834765341,0.7996356127801872,-0.5729888472196178
CONDUCTIVIDAD ELECTRICA,-0.3794558619967454,0.6754409107655281,0.2672309711917507,0.5182849002934562,-0.7857005887589088,-0.036985257078815115,0.1396577521771733,0.38025008002746596,0.14154843495538616,-0.2666707325613968,,,,-0.3070864805356978,0.6423207431509059,-0.3070864805356978,-0.3070864805356978,-0.3070864805356978,-0.3070864805356978,-0.3070864805356978,-0.3070864805356978,,0.47189390908715084,0.2934854366663909,-0.43706854019701075,1.0,0.5637625184798303,0.719718080680289,0.9141256446746779,0.9319835782330247,-0.7635359193974837,0.2896624531891696,0.4951994959704961,-0.20384745837203375,0.28127777658981534
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.021455951077568456,-0.28708489542854404,-0.29822791960544387,-0.31801212077512186,-0.11449620709207939,-0.03327154804619573,-0.42687760174489636,-0.00288592478493518,-0.18186110806292308,-0.01673788411917651,,,,0.012417903475469307,,0.012417903475469307,0.012417903475469307,0.012417903475469307,0.012417903475469307,0.012417903475469307,0.012417903475469307,,-1.0,-1.0,-0.3886027017476321,0.5637625184798303,1.0,0.5242774090946274,0.09314795468007303,0.5869164031905093,0.20536503638940729,-0.1510528106086678,-0.3914574208333092,-0.059890838132137365,0.7106454845063302
DEMANDA QUIMICA DE OXIGENO (DQO),-0.10846766064048577,0.39514565718704003,0.12254006007232042,0.2807215190514399,-0.5286654022125911,-0.0785946131058827,-0.08850673278978746,0.20365469074483278,0.008465419536219786,-0.23783307832043124,,,,-0.0671354092828894,0.7984031019722234,-0.0671354092828894,-0.0671354092828894,-0.0671354092828894,-0.0671354092828894,-0.0671354092828894,-0.0671354092828894,,0.22205279313718043,0.1460165044151489,-0.08620458651619557,0.719718080680289,0.5242774090946274,1.0,0.649379347483494,0.7347691187182083,-0.5634989660318762,0.2650987377465772,0.2958232794126989,-0.012043198688261427,0.38276571890227457
FOSFORO TOTAL,-0.3655929498101121,0.6593333340934094,0.30836255475324914,0.5358548926137648,-0.7251110640826779,-0.042809007208699366,0.05761111201494773,0.38967883722781743,0.14155659822829125,-0.2963961843847241,,,,-0.3333028854830344,0.6749434914474639,-0.3333028854830344,-0.3333028854830344,-0.3333028854830344,-0.3333028854830344,-0.3333028854830344,-0.3333028854830344,,0.47707399164470443,0.28892468630002816,0.13732562383426664,0.9141256446746779,0.09314795468007303,0.649379347483494,1.0,0.8270654645434151,-0.7678003818412584,0.5108846534626124,0.48871799523926596,0.5412436869638776,0.17413651396339963
NITROGENO TOTAL,-0.36886093571714523,0.6773555802449812,0.27360806638951196,0.536174430880981,-0.7515621641211647,-0.025368947151950476,0.2843707277144987,-0.20392155715263427,0.1953094363860313,-0.20160640215049233,,,,0.2325600442419217,0.6109960344993463,0.2325600442419217,0.2325600442419217,0.2325600442419217,0.2325600442419217,0.2325600442419217,0.2325600442419217,,0.40129185320610816,0.2084213568812839,,0.9319835782330247,0.5869164031905093,0.7347691187182083,0.8270654645434151,1.0,-0.6137416975573362,0.20033778165973712,0.6221290933263841,-0.2241094703960092,0.5498420480759016
OXIGENO DISUELTO (OD),0.16113045368517584,-0.8452082831174603,-0.6220767992510715,-0.7962425704800324,0.6388817929819669,0.08313582334585631,-0.20954481954003765,-0.5031956760947406,-0.07024600869475402,0.3289291172526014,,,,0.4406323819762324,-0.9946976878214308,0.4406323819762324,0.4406323819762324,0.4406323819762324,0.4406323819762324,0.4406323819762324,0.4406323819762324,,-0.34766504255243985,-0.7797865091371275,-0.5117764343346932,-0.7635359193974837,0.20536503638940729,-0.5634989660318762,-0.7678003818412584,-0.6137416975573362,1.0,-0.3513874097635692,-0.6359124619952512,-0.3302350290320422,0.08999577838185986
SOLIDOS SUSPENDIDOS TOTALES,-0.24152727400009172,0.3003575509374064,0.2903348421876958,0.3509220132520638,-0.2147396005083426,0.03133056249497559,0.09522497073246504,0.1175076190483013,0.2614224274871692,-0.02947936404403558,,,,-0.05523024194740583,0.9326897814624298,-0.05523024194740583,-0.05523024194740583,-0.05523024194740583,-0.05523024194740583,-0.05523024194740583,-0.05523024194740583,,0.15125859992725216,-0.08690556751438384,0.6388357739108331,0.2896624531891696,-0.1510528106086678,0.2650987377465772,0.5108846534626124,0.20033778165973712,-0.3513874097635692,1.0,0.2648774906937833,0.8175967966425479,-0.026722154040667148
