,Precipitacion_mm,Temp_Max_C,Temp_Min_C,Temp_Media_C,Humedad_Relativa,Velocidad_Viento,Radiacion_Solar,Anio,Mes,ONI,VolumenUtilDiarioMasa,irca,POBLACION TOTAL,DENSIDAD POBLACIONAL,INDICE DE DESEMPENO INSTITUCIONAL,ACCESO A AGUA POTABLE ADECUADO,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ACUEDUCTO RURAL,COBERTURA DE ALCANTARILLADO URBANO,COBERTURA DE ALCANTARILLADO RURAL,CONTINUIDAD DE ACUEDUCTO URBANO,CALIDAD DEL AGUA,AGUAS RESIDUALES TRATADAS,Nivel_Minimo,CONDUCTIVIDAD ELECTRICA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),DEMANDA QUIMICA DE OXIGENO (DQO),FOSFORO TOTAL,NITROGENO TOTAL,OXIGENO DISUELTO (OD),SOLIDOS SUSPENDIDOS TOTALES,TEMPERATURA,TURBIDEZ,pH
COBERTURA DE ALCANTARILLADO RURAL,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
CONTINUIDAD DE ACUEDUCTO URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIDAD DEL AGUA,0.143960588065884,0.1078690024652539,0.11590830219890914,0.14035607970804925,0.10015719545780305,0.38459041798494875,-0.19958086938672406,-0.10910894511799618,0.0,0.028252909435471034,,,,,1.0,,,,,,,,1.0,0.7319250547113999,,0.5654461466217139,-1.0,0.39665625210776945,0.5148091782675306,0.5907646307988055,-0.5974790825125827,0.09283444198266944,0.6920385675071722,0.14712247158412492,0.24474534704521944
AGUAS RESIDUALES TRATADAS,0.2518273815507985,0.13179884900817504,0.32899390592476363,0.24191715085452506,0.3310067518514835,0.18884605098204563,-0.09078105095880923,0.0,0.0,0.0,,,,,0.8,,,,,,,,0.7319250547113999,1.0,,0.26352313834736496,-1.0,0.21081851067789195,0.26352313834736496,0.15811388300841897,-0.4763305116224668,0.15811388300841897,0.5270462766947299,0.29277002188455997,-0.21081851067789195
Nivel_Minimo,0.4377696875109977,0.34174037072740204,0.65295744613665,0.5123188175142963,0.28140705807596256,0.2736839279427646,-0.2812638121261479,0.502668768982242,0.0946805379389849,-0.12337305775189406,,,,,,,,,,,,,,,1.0,-0.7762237762237763,-0.3404271044608361,-0.4203158810030077,-0.16783216783216784,,0.08391608391608392,0.17482517482517482,0.4125874125874126,0.6386004222984786,-0.7552447552447552
CONDUCTIVIDAD ELECTRICA,-0.2954621848739496,0.6849472969003587,0.16807529792718093,0.5988906779530515,-0.6007827320514887,-0.007935945659378423,0.22425508422032228,0.36012457093205774,0.13755340490766205,-0.36012085055377246,,,,-0.3350801813242426,1.0,-0.3350801813242426,-0.3350801813242426,-0.3350801813242426,-0.3350801813242426,-0.3350801813242426,-0.3350801813242426,,0.5654461466217139,0.26352313834736496,-0.7762237762237763,1.0,0.36011739134610005,0.763287509601228,0.8023677187449753,0.9177339901477832,-0.7561350464690479,0.27298706050494964,0.46236973140844106,-0.16842427808073987,0.4919678268139545
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.20695614117321068,-0.35749849301016584,-0.377934807473595,-0.38273180412330515,-0.03871861581551789,0.22321428571428573,-0.5475429033026336,0.155217914981849,-0.3118248045944081,-0.24276951623665974,,,,-0.1341862600304233,,-0.1341862600304233,-0.1341862600304233,-0.1341862600304233,-0.1341862600304233,-0.1341862600304233,-0.1341862600304233,,-1.0,-1.0,-0.3404271044608361,0.36011739134610005,1.0,0.5487548415661999,0.06250001860545146,0.2857243743174461,0.16309788609014617,-0.2174811062463569,-0.5913928746494463,-0.2506002995815371,0.4883492160515338
DEMANDA QUIMICA DE OXIGENO (DQO),-0.14482917378139232,0.4443196949088197,0.03950088097922837,0.35398591820440767,-0.3867823504930152,0.11289424345339058,0.0036744068129696654,0.24925372077396837,0.0505337893055159,-0.28936308068009986,,,,-0.16051925176212506,1.0,-0.16051925176212506,-0.16051925176212506,-0.16051925176212506,-0.16051925176212506,-0.16051925176212506,-0.16051925176212506,,0.39665625210776945,0.21081851067789195,-0.4203158810030077,0.763287509601228,0.5487548415661999,1.0,0.696745120651984,0.7960591133004926,-0.5849899248884078,0.2886892612988735,0.3203174847277507,0.021079048267669834,0.4740978945743184
FOSFORO TOTAL,-0.33061183221500223,0.6976168642171833,0.26954480646612505,0.5912837148297452,-0.5753578491950468,0.02036906913300029,0.19758630528454293,0.3133088708585023,0.1345407351317453,-0.37638093671286127,,,,-0.3239059431361432,1.0,-0.3239059431361432,-0.3239059431361432,-0.3239059431361432,-0.3239059431361432,-0.3239059431361432,-0.3239059431361432,,0.5148091782675306,0.26352313834736496,-0.16783216783216784,0.8023677187449753,0.06250001860545146,0.696745120651984,1.0,0.8438423645320197,-0.7760653237970215,0.5895171991425947,0.5158985358630827,0.45831592712247726,0.28247722584408985
NITROGENO TOTAL,-0.35073891625615766,0.7929548034035325,0.17440571631242652,0.7611774906855904,-0.7369458128078817,-0.1274768095969836,0.36974997201264437,-0.21083872751845711,0.22137976027297948,-0.3002001735712182,,,,0.16279138551129593,1.0,0.16279138551129593,0.16279138551129593,0.16279138551129593,0.16279138551129593,0.16279138551129593,0.16279138551129593,,0.5907646307988055,0.15811388300841897,,0.9177339901477832,0.2857243743174461,0.7960591133004926,0.8438423645320197,1.0,-0.73130471916096,0.26666671728429825,0.6991870130889357,-0.2802197802197802,0.66379208673168
